season,episode_number,title,airdate,rating,total_votes,description
4,6,Chapter Six: The Dive,2022-05-27,8.5,16970,"Behind the Iron Curtain, a risky rescue mission gets underway. The California crew seeks help from a hacker. Steve takes one for the team."
4,7,Chapter Seven: The Massacre at Hawkins Lab,2022-05-27,9.6,36345,"As Hopper braces to battle a monster, Dustin dissects Vecna's motives -- and decodes a message from beyond. El finds strength in a distant memory."
4,8,Chapter Eight: Papa,2022-07-01,8.6,18747,"Nancy has sobering visions, and El passes an important test. Back in Hawkins, the gang gathers supplies and prepares for battle."
4,9,Chapter Nine: The Piggyback,2022-07-01,9.1,28661,"With selfless hearts and a clash of metal, heroes fight from every corner of the battlefield to save Hawkins - and the world itself."
1,1,Into the Ring,2015-04-10,8.4,13314,"Matt Murdock and Foggy Nelson open their law firm, and take the case of a woman accused of murder who Matt believes is innocent."
1,2,Cut Man,2015-04-10,8.9,12656,"Murdock makes a near fatal error while trying to save a kidnapped boy, and finds an unlikely ally when he needs saving himself."
1,3,Rabbit in a Snowstorm,2015-04-10,8.3,10698,"Murdock and Foggy take on a mysterious wealthy client, but Murdock is convinced that there's more to the case than just the facts."
1,4,In the Blood,2015-04-10,8.6,10380,Two vicious Russian brothers working for Fisk strike back against Daredevil. Fisk moves to further consolidate his power in the criminal underworld.
1,5,World on Fire,2015-04-10,8.7,9991,Fisk moves forward with plans that threaten to rip Hell's Kitchen apart. Murdock and Foggy take on a case helping tenants victimised by a slumlord.
1,6,Condemned,2015-04-10,8.9,10163,Daredevil finds himself trapped in the fallout of Fisk's plan to take control of Hell's Kitchen. Ben Urich digs closer to the truth.
1,7,Stick,2015-04-10,8.6,9895,An important figure from Murdock's past reemerges seeking his help to battle a new enemy threatening Hell's Kitchen.
1,8,Shadows in the Glass,2015-04-10,8.9,9884,"While Murdock, Foggy and Karen's mission becomes clearer, Fisk's world spins further out of control in his battle for Hell's Kitchen."
1,9,Speak of the Devil,2015-04-10,9.1,10188,"When Fisk gains the upper hand, the goal to destroy him becomes even more difficult, while Daredevil faces his own demons."
1,10,Nelson v. Murdock,2015-04-10,8.5,9482,"After Foggy and Murdock's relationship has taken a turn for the worst, a new enemy of Fisk has surfaced."
1,11,The Path of the Righteous,2015-04-10,8.7,9367,"Fisk and Murdock wrestle with the consequences of their chosen paths, while Ben and Karen get closer to Fisk's true past."
1,12,The Ones We Leave Behind,2015-04-10,8.6,9182,Fisk seeks revenge while Karen is haunted by recent events. Daredevil makes a startling discovery about Fisk's financing.
1,13,Daredevil,2015-04-10,9.3,12101,"In the season finale, a boxed-in Fisk and a desperate Murdock, Foggy, and Karen are forced to play their end games."
2,1,Bang,2016-03-18,8.8,9808,"In the void left by Fisk's removal, a new threat to Hell's Kitchen emerges. Murdock and Foggy take on a client with a questionable past."
2,2,Dogs to a Gunfight,2016-03-18,8.6,8673,"As Murdock recovers from an attack, Foggy and Karen fight to protect their new client from both the law and the Kitchen's newest vigilante."
2,3,New York's Finest,2016-03-18,9.4,11262,"Trapped face-to-face with the Punisher, Daredevil wrestles with the morality of vigilante justice. Meanwhile, Foggy and Karen work to save the firm."
2,4,Penny and Dime,2016-03-18,9.4,10744,"Karen uncovers shocking facts about the Punisher, who finds himself hunted by a powerful force in Hell's Kitchen. Daredevil ponders his next moves."
2,5,Kinbaku,2016-03-18,8.2,8004,A former lover arrives in Hell's Kitchen and turns Murdock's world upside down. Karen digs for the truth about the Punisher.
2,6,Regrets Only,2016-03-18,8.5,7621,"A lethal foe returns with a vengeance, Foggy and Murdock risk the firm to ensure justice, and Karen sees a different side of the Punisher."
2,7,Semper Fidelis,2016-03-18,8.5,7503,"Murdock and Foggy take on the DA in the trial of the century, but their client refuses to play along. Murdock struggles to balance his dual identities."
2,8,Guilty as Sin,2016-03-18,9.0,7985,"As the firm's trial spins out of control, a figure from Murdock's past returns to deliver shocking revelations about the future of Hell's Kitchen."
2,9,Seven Minutes in Heaven,2016-03-18,9.4,9507,"Castle gets an offer he can't refuse. Foggy and Murdock question the future of their firm, but Karen won't give up so easily."
2,10,The Man in the Box,2016-03-18,9.0,7742,Murdock and Foggy get caught in the crossfire of the Punisher's revenge. Karen and Murdock dig for the truth in very different ways.
2,11,.380,2016-03-18,8.7,7340,Karen starts working with Frank to bring the mysterious Blacksmith down. Claire quits her job as the hospital's administration are trying to keep her silent. Matt visits Madame Gao to get information on Blacksmith.
2,12,The Dark at the End of the Tunnel,2016-03-18,8.9,7582,Daredevil goes underground to save an old friend. Karen follows a dangerous lead. The law firm of Nelson and Murdock may have reached its final chapter.
2,13,A Cold Day in Hell's Kitchen,2016-03-18,9.1,9263,"In the season finale, Daredevil is backed into the ultimate showdown for his own life - and the future of Hell's Kitchen."
3,1,Resurrection,2018-10-19,8.2,6944,"Shattered physically and spiritually, Matt rethinks his purpose and place in Hell's Kitchen. Meanwhile, Fisk puts a plan in motion from behind bars."
3,2,Please,2018-10-19,8.5,6346,"Grieving for the life he's abandoned, Matt suffers a crisis of faith. Fisk makes a deal with the FBI that turns him into a target."
3,3,No Good Deed,2018-10-19,8.4,6181,"As Fisk moves into swanky new digs amid a public outcry, Matt wrestles with how far he's ready to go to right this wrong. Dex's aim comes into focus."
3,4,Blindsided,2018-10-19,9.5,9759,"While Matt infiltrates a prison to find information on the Albanians, Fisk puts Dex in his crosshairs and a fed-up Foggy goes on the offensive."
3,5,The Perfect Game,2018-10-19,8.8,6343,"To quell the rising backlash over his release, Fisk serves up a scapegoat to the FBI. Dex misses the mark when he runs into a woman from his past."
3,6,The Devil You Know,2018-10-19,9.5,8145,"Driven to the edge, Dex loses his way until he's offered a lifeline by Fisk. Matt comes to Karen for help, which she agrees to give -- on one condition."
3,7,Aftermath,2018-10-19,8.7,5940,"The press crucifies Daredevil after the attack on the Bulletin, and Agent Nadeem suspects the FBI paid too high a price for Fisk's cooperation."
3,8,Upstairs/Downstairs,2018-10-19,9.0,6244,"A desperate Dex reaches out for help, Matt forms an uneasy alliance with Agent Nadeem, and Karen concocts a dangerous plan to provoke Fisk."
3,9,Revelations,2018-10-19,9.1,6249,Matt's already shaky world tilts when he learns a shocking truth. Karen runs for her life. Nadeem discovers how deep Fisk's influence runs.
3,10,Karen,2018-10-19,8.6,6719,"Hunted by Fisk and haunted by mistakes from her past, Karen seeks refuge at the church. Matt finally gets his shot, and Dex goes in for the kill."
3,11,Reunion,2018-10-19,9.1,6130,"Dex tries to run his prey to ground, Nadeem's conscience kicks in, and Fisk looks to recover a gift from Vanessa seized during his incarceration."
3,12,One Last Shot,2018-10-19,9.3,6421,Fisk's long-awaited reunion doesn't go as planned. Nelson & Murdock take on a new client who holds key information on Kingpin.
3,13,A New Napkin,2018-10-19,9.5,9336,"Matt prepares to cross the line, as Dex becomes more dangerous than ever and Fisk enacts his endgame."
1,1,Uno,2016-01-07,8.5,18965,Struggling public defender Jimmy McGill constructs an elaborate yet questionable plan for winning back a pair of wealthy potential clients.
1,2,Mijo,2015-02-09,8.9,17939,Jimmy's latest scam has gone horribly wrong and he's face-to-face with violent criminals and being forced to talk his way out of a life-threatening situation.
1,3,Nacho,2015-02-16,8.7,15182,Jimmy must prove that Nacho is innocent when he is wrongly suspected of kidnapping.
1,4,Hero,2015-02-23,8.4,13691,Jimmy makes a bold move against Hamlin in an effort to attract potential clients.
1,5,Alpine Shepherd Boy,2015-03-02,8.0,13196,"After a strange encounter with the police, Chuck ends up in the hospital. Jimmy meets up with a series of unruly clients."
1,6,Five-O,2015-03-09,9.4,20773,Mike's days as a police officer in Philadelphia catch up to him when he's questioned about a tragic event from his past.
1,7,Bingo,2015-03-16,8.6,12581,The Kettlemans seek Jimmy as their lawyer after turning down an offer from HHM.
1,8,RICO,2015-03-23,8.7,12309,"Jimmy discovers the Sandpiper Retirement Home has been scamming his elderly clients, and prepares to take legal action."
1,9,Pimento,2015-03-30,9.4,16717,Chuck wants to transfer the Sandpiper case to HHM much to Jimmy's dismay. Mike gets a job offer working as a bodyguard.
1,10,Marco,2015-04-06,8.6,13094,Jimmy seizes an opportunity to reconnect with an old friend; Chuck adjusts to a new way of life.
2,1,Switch,2016-02-15,8.2,11176,Jimmy decides to quit the law after turning down a job at Davis & Main. Mike breaks ties with a former associate.
2,2,Cobbler,2016-02-22,8.5,10300,"While Mike attempts to track down Pryce's stolen baseball cards, Jimmy must defend him when the police call him in for further questioning."
2,3,Amarillo,2016-02-29,8.2,9868,Jimmy struggles with client outreach and decides to shoot a TV commercial for Davis & Main. Mike begins an investigation.
2,4,Gloves Off,2016-03-07,8.9,10717,Mike makes a deal with Nacho in regards to his newest job offer. Jimmy and Kim face the repercussions of the TV commercial.
2,5,Rebecca,2016-03-14,8.0,9770,Jimmy chafes under his restrictive work environment; Kim goes to extremes to dig herself from a bottomless hole at HHM.
2,6,Bali Ha'i,2016-03-21,8.4,9575,"Jimmy finds comfort in familiarity; Kim receives a life-changing proposal; when he is threatened, Mike finds himself pushed to the limit."
2,7,Inflatable,2016-03-28,8.4,9491,"When Mike's hand is forced, he can no longer hide his frustration; Mike and Jimmy work together to keep the peace."
2,8,Fifi,2016-04-04,8.3,9367,"Kim hopes to keep the Mesa Verde case, but HHM won't let it go without a fight. Mike stakes out the Salamanca's business."
2,9,Nailed,2016-04-11,9.3,11850,Mike takes a methodical approach to his mission; someone questions Chuck's capabilities; Jimmy faces a personal dilemma.
2,10,Klick,2016-04-18,9.0,10757,Jimmy must make a hard choice; Mike takes control of matters; Hamlin delivers shocking news.
3,1,Mabel,2017-04-10,8.1,10289,"As Chuck plots his next move, another lie comes back to haunt Jimmy. A rattled Mike tries to find out who's been tracking his movements - and how."
3,2,Witness,2017-04-17,9.0,10782,Jimmy and Kim hire an assistant; Mike seeks out a mysterious acquaintance; and Chuck uses the law to gain an advantage over Jimmy.
3,3,Sunk Costs,2017-04-24,8.5,9412,"Jimmy decides to represent a new client, much to Kim's dismay. Meanwhile, Mike meets a formidable ally who presents him an enticing offer."
3,4,Sabrosito,2017-05-01,8.9,10221,"Jimmy calls in a favor from Mike. Meanwhile, new complications disrupt the Salamancas' business; and Chuck and Jimmy struggle to compromise."
3,5,Chicanery,2017-05-08,9.7,21738,Kim and Jimmy face off with Chuck and Howard at the New Mexico Bar Association hearing.
3,6,Off Brand,2017-05-15,8.5,9258,Jimmy is back in the commercial making business. Chuck pushes himself to the limit. Nacho finds himself ensnared in a power struggle.
3,7,Expenses,2017-05-22,8.2,8993,Jimmy tries to settle his debts. Nacho reunites with an old acquaintance. Mike helps Stacey with a project and makes a meaningful connection.
3,8,Slip,2017-06-05,8.5,8940,Jimmy is pushed to desperate measures. Nacho picks up a skill and Mike explores an alliance. Kim stands up to Hamlin.
3,9,Fall,2017-06-12,8.8,9371,Jimmy visits Irene at Sandpiper Crossing to see how the class action lawsuit is going; Chuck and Howard spar over the future of the firm; and Kim faces challenges after deciding to take on a new client.
3,10,Lantern,2017-06-19,9.2,11607,"Kim resolves to take some time off from work, while Jimmy does his best to make amends; Nacho takes a major gamble with his future; Hamlin applies pressure on Chuck to finally make a decision."
4,1,Smoke,2018-08-06,8.2,9632,Jimmy struggles to cope with Chuck's tragic incident. Mike ponders his role at Madrigal. Howard makes a startling confession.
4,2,Breathe,2018-08-13,8.8,9687,Jimmy seeks new employment. Gus navigates the fallout from Hector's collapse. Kim endeavors to support Jimmy in the wake of Chuck's death.
4,3,Something Beautiful,2018-08-20,8.5,8863,"Jimmy puts a risky plan into motion; as alliances shift, Nacho finds himself in the crosshairs; Kim contemplates her future."
4,4,Talk,2018-08-27,8.2,8717,A restless Jimmy embarks on a new endeavor while Mike burns bridges; Kim pursues her bliss; Nacho tries to survive a turf war.
4,5,Quite a Ride,2018-09-03,8.5,8811,Jimmy identifies a new market for his talents; Mike vets a potential partnership; Kim drives a hard bargain.
4,6,Piñata,2018-09-10,8.5,8668,"While Jimmy daydreams about reconstituting Wexler-McGill, Kim sets out to secure her own future; Mike puts a plan into motion for Gus."
4,7,Something Stupid,2018-09-17,8.3,8623,Jimmy runs into a problem as he expands his business that only Kim can solve. Gus gets involved in Hector's medical care. Mike has to deal with a setback.
4,8,Coushatta,2018-09-24,8.8,9255,"Jimmy goes to great lengths to right a wrong, as Kim pulls out all the stops for a case; Mike lets his team blow off steam; Nacho receives a visitor."
4,9,Wiedersehen,2018-10-01,9.1,9642,Jimmy attends his reinstatement hearing at the Bar Association; Nacho is forced to make the rounds with Lalo; Mike has cause to worry.
4,10,Winner,2018-10-08,9.5,14268,Lalo tails Mike as he attempts to track down Werner; Jimmy and Kim invoke the memory of Chuck for the Bar Association appeal hearing.
5,1,Magic Man,2020-02-23,8.7,11021,"Lalo searches for the mysterious Michael. Now doing business as Saul Goodman, Jimmy unveils an unorthodox strategy that tests Kim's tolerance."
5,2,50% Off,2020-02-24,8.7,10420,"Jimmy's promotional stunt has unintended consequences. Nacho takes extreme measures to earn Lalo's trust. Saul is a success at the courthouse, but still has yet to win Kim over. Simmering with rage and self-loathing, Mike loses his temper."
5,3,The Guy for This,2020-03-02,9.0,10937,Jimmy's business enters uncharted territory. Kim's confidence is tested when she's faced with a legal problem only she can solve. Nacho navigates increased pressure from Gus. Mike continues to spiral.
5,4,Namaste,2020-03-09,8.5,9771,"As Jimmy doubles down on ""Saul Goodman"", a deeply conflicted Kim brings him an interesting proposition. Gus makes a sacrifice in order to play the long game. Mike attempts to smooth things over with his family."
5,5,Dedicado a Max,2020-03-16,8.6,9937,"As she and Jimmy grow closer over their campaign to help a client, Kim makes a surprising call; Mike is restless during his out-of-town recuperation."
5,6,Wexler v. Goodman,2020-03-23,9.3,12689,"Kim has a change of heart, but Saul is determined to stick it to Mesa Verde; Mike turns the heat up on Lalo; Nacho attempts to enlist support from above."
5,7,JMM,2020-03-30,9.0,11424,Jimmy and Kim build a legal firewall with help from Huell; Kim sets things straight with her clients as Jimmy is compromised by his; Gus calms troubled waters in service of his plot to build an empire; Mike does damage control.
5,8,Bagman,2020-04-06,9.7,21881,"When a simple errand for a client goes sideways, Jimmy is pushed to the limit; Mike takes measures to contain the wrath of the cartel; Lalo gets an unexpected visitor."
5,9,Bad Choice Road,2020-04-13,9.7,21829,"In the wake of Jimmy's traumatic misadventure, Kim takes stock of what is important; Jimmy attempts to return to business as usual, but it's more difficult than anticipated; Gus and Mike set a plan in motion."
5,10,Something Unforgivable,2020-04-20,9.3,15288,Jimmy and Kim make a sideways move that takes a serious turn; Nacho gets closer to the cartel than he'd like.
6,1,Wine and Roses,2022-04-18,8.8,15794,Nacho runs for his life. Saul and Kim hatch a plan to mess with Howard. Mike questions his allegiances.
6,2,Carrot and Stick,2022-04-18,9.1,15868,Kim and Saul enlist some familiar faces in their scheme to get Howard. Harsh realities dawn on Nacho. Gus investigates his suspicions.
6,3,Rock and Hard Place,2022-04-25,9.7,26051,"Still on the run, Nacho is forced to choose where his loyalties lie. Saul must decide whether he wants to remain a ""friend of the cartel"" after his reputation is called into question. Gus and Mike ready the team for a meet."
6,4,Hit and Run,2022-05-02,8.6,13854,"Despite assurances from the cartel, Gus takes extreme measures to protect himself against looming threats. Kim and Saul enlist the help of a local pro to put on a show for Cliff Main. Howard seeks outside counsel."
6,5,Black and Blue,2022-05-09,8.1,13347,"While business booms for Jimmy, the vise tightens on the cat-and-mouse game between Gus and Lalo."
6,6,Axe and Grind,2022-05-16,8.2,12972,Kim and Jimmy enlist a knowledgeable contact; Howard scrutinizes Jimmy's business practices.
6,7,Plan and Execution,2022-05-23,9.9,43715,Jimmy and Kim deal with a last-minute snag in their plan; Lalo is forced to make an unexpected move.
6,8,Point and Shoot,2022-07-11,9.8,31518,An unexpected visitor forces Jimmy and Kim to face the consequences of their actions.
6,9,Fun and Games,2022-07-18,9.4,20550,Gus attempts to smooth things over with the cartel while Mike ties up loose ends as Jimmy and Kim deal with the repercussions of their actions.
6,10,Nippy,2022-07-25,8.5,19927,A lost dog leads to a new friend. A new player gets in the game.
6,11,Breaking Bad,2022-08-01,9.1,21323,The partners escalate their enterprise to new levels.
6,12,Waterworks,2022-08-08,9.5,22759,The stakes are raised when a discovery is made that will send shockwaves far and wide.
6,13,Saul Gone,2022-08-15,9.8,45167,"Six years before he meets Walter White, small-time lawyer Jimmy McGill transforms into his alias, Saul Goodman -- a man who puts the ""criminal"" in ""criminal lawyer"" -- and searches for his destiny, hustling to make a name for himself."
